AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,LocationID,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFY,FirstDisbursementDate,ProcessingMethod,Subprogram,InitialInterestRate,FixedorVariableInterestRate,TerminMonths,NAICSCode,NAICSDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidinFullDate,ChargeoffDate,GrossChargeoffAmount,RevolverStatus,JobsSupported,CollateralInd,SoldSecondMarketInd
2025-09-30, 7A,RW Group Inc.,57 South Street,Bristol,CT,6010,16282.0,Liberty Bank,17943.0,,245 Long Hill Rd,Middletown,CT,6457.0,1900000.0,1425000.0,01/14/2020,2020,04/30/2020,Preferred Lenders Program,Guaranty,4.25,V,96,446110,Pharmacies and Drug Stores,,,        ,CT,CONNECTICUT DISTRICT OFFICE ,1.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,1.0,Y,
2025-09-30, 7A,6717 Benjamin LLC,6717 BENJAMIN RD,TAMPA,FL,33634,507814.0,"VelocitySBA, LLC",,,695 Town Center Drive,Costa Mesa,CA,92626.0,3428000.0,3085200.0,08/29/2021,2021,09/30/2021,Preferred Lenders Program,Guaranty,4.75,V,300,531130,Lessors of Miniwarehouses and Self-Storage Units,,,HILLSBOROUGH,FL,SOUTH FLORIDA DISTRICT OFFICE ,14.0,CORPORATION,Existing or more than 2 years old,PIF,11/30/2022,,0.0,0,3.0,Y,Y
2025-09-30, 7A,Leshay Goat Rentals,28819 S CHENEY SPANGLE RD,CHENEY,WA,99004,79430.0,Banner Bank,28489.0,,10 S First Ave,WALLA WALLA,WA,99362.0,50000.0,25000.0,05/07/2025,2025,05/12/2025,SBA Express Program,FA$TRK (Small Loan Express),10.0,V,120,112990,All Other Animal Production,,,SPOKANE,WA,SEATTLE DISTRICT OFFICE ,5.0,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,,,0.0,1,3.0,Y,
2025-09-30, 7A,Adam Place,382  7TH AVE,CLAYTON,WI,54004,75967.0,Hiawatha National Bank,13058.0,,N1555 770th St,HAGER CITY,WI,54014.0,300000.0,225000.0,10/25/2023,2024,10/30/2023,Preferred Lenders Program,Guaranty,9.0,V,120,112120,Dairy Cattle and Milk Production,,,BARRON,WI,WISCONSIN DISTRICT OFFICE ,7.0,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,,,0.0,0,2.0,Y,
2025-09-30, 7A,AIDEN'S CORNER LLC,812 WILDFLOWER DR,SHOREWOOD,IL,60404,223542.0,Celtic Bank Corporation,57056.0,,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111.0,60000.0,51000.0,08/16/2024,2024,08/20/2024,Preferred Lenders Program,Guaranty,11.25,V,120,458110,,,,WILL,IL,ILLINOIS DISTRICT OFFICE ,11.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,0.0,Y,Y
2025-09-30, 7A,BRANCH MANAGEMENT TREE SERVICE LLC,7950 EAST STARLIGHT WAY,SCOTTSDALE,AZ,85250,39848.0,Cadence Bank,11813.0,,201 S Spring St,TUPELO,MS,38804.0,200000.0,180000.0,03/26/2021,2021,05/06/2021,Preferred Lenders Program,Guaranty,6.0,V,120,561730,Landscaping Services,,,MARICOPA,AZ,ARIZONA DISTRICT OFFICE ,6.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,4.0,Y,Y
2025-09-30, 7A,Peabody Landscape Construction Inc.,2253 Dublin Rd,Columbus,OH,43228,57811.0,First Financial Bank,6600.0,,"255, E 5th St, Room 700",Cincinnati,OH,45202.0,1239200.0,929400.0,12/18/2019,2020,12/31/2019,Preferred Lenders Program,Guaranty,5.5,F,96,541320,Landscape Architectural Services,,,FRANKLIN,OH,COLUMBUS DISTRICT OFFICE ,3.0,CORPORATION,Existing or more than 2 years old,PIF,01/31/2023,,0.0,0,105.0,Y,
2025-09-30, 7A,PICKLEBALL KINGDOM BCS,2080 RAVENSTONE LOOP,COLLEGE STATION,TX,77845,110352.0,First Bank of the Lake,26960.0,,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065.0,2021500.0,1516125.0,07/10/2025,2025,,Preferred Lenders Program,Guaranty,10.25,V,132,713940,Fitness and Recreational Sports Centers,S8070,Pickleball Kingdom,BRAZOS,TX,HOUSTON DISTRICT OFFICE ,17.0,CORPORATION,"Startup, Loan Funds will Open Business",COMMIT,,,0.0,0,18.0,Y,
2025-09-30, 7A,Beverly Renovations LLC,2275 Darwick Road,WINSTON SALEM,NC,27127,223542.0,Celtic Bank Corporation,57056.0,,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111.0,150000.0,127500.0,04/26/2025,2025,06/02/2025,Preferred Lenders Program,Guaranty,10.25,V,120,236115,New Single-Family Housing Construction (except Operative Builders),,,FORSYTH,NC,NORTH CAROLINA DISTRICT OFFICE ,6.0,CORPORATION,New Business or 2 years or less,EXEMPT,,,0.0,0,0.0,N,Y
2025-09-30, 7A,Gold Coast Mechanical Inc.,50 BETHPAGE RD,Hicksville,NY,11801,46391.0,Manufacturers and Traders Trust Company,588.0,,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203.0,150000.0,75000.0,04/21/2020,2020,05/12/2020,SBA Express Program,FA$TRK (Small Loan Express),7.75,V,120,238220,"Plumbing, Heating, and Air-Conditioning Contractors",,,NASSAU,NY,MELVILLE BRANCH OFFICE ,2.0,CORPORATION,Existing or more than 2 years old,PIF,04/30/2024,,0.0,1,2.0,N,
2025-09-30, 7A,V's Liquor LLC,1550 S FEDERAL BLVD,DENVER,CO,80219,5597.0,Hanmi Bank,24170.0,,"3660 Wilshire Blvd, PH-A",LOS ANGELES,CA,90010.0,976000.0,732000.0,09/15/2025,2025,,Preferred Lenders Program,Guaranty,9.0,V,120,445320,,,,DENVER,CO,COLORADO DISTRICT OFFICE ,1.0,CORPORATION,Change of Ownership,COMMIT,,,0.0,0,4.0,Y,
2025-09-30, 7A,A&A Postal Clovis LLC,3150 Fowler Ave,CLOVIS,CA,93611,262380.0,"Leader Bank, National Association",57134.0,,180 Massachusetts Ave,ARLINGTON,MA,2474.0,282000.0,211500.0,09/30/2025,2025,,Preferred Lenders Program,Guaranty,10.25,V,123,561431,Private Mail Centers,S1340,PostalAnnex+ (Retail Center),FRESNO,CA,FRESNO DISTRICT OFFICE ,22.0,CORPORATION,"Startup, Loan Funds will Open Business",COMMIT,,,0.0,0,8.0,Y,
2025-09-30, 7A,Alchemy Liquor Services Ltd.,7647 and 7649 MCLAUGHLIN RD,Falcon,CO,80831,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202.0,626500.0,469875.0,02/08/2024,2024,04/09/2024,Preferred Lenders Program,Guaranty,9.0,F,120,445320,,,,EL PASO,CO,COLORADO DISTRICT OFFICE ,4.0,CORPORATION,New Business or 2 years or less,EXEMPT,,,0.0,0,10.0,Y,
2025-09-30, 7A,ONE 11 SALON,2742 111TH ST W,CHICAGO,IL,60655,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202.0,10000.0,5000.0,11/07/2024,2025,11/12/2024,SBA Express Program,FA$TRK (Small Loan Express),9.99,F,36,812111,Barber Shops,,,COOK,IL,ILLINOIS DISTRICT OFFICE ,1.0,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,,,0.0,0,2.0,N,
2025-09-30, 7A,Acro Gravity Academy,1935 NE 150th St,MIAMI,FL,33181,49874.0,"Newtek Bank, National Association",18734.0,,"1111 Brickell Ave, Ste 135",Miami,FL,33131.0,50000.0,25000.0,05/27/2025,2025,,SBA Express Program,FA$TRK (Small Loan Express),14.0,V,120,713940,Fitness and Recreational Sports Centers,,,MIAMI-DADE,FL,SOUTH FLORIDA DISTRICT OFFICE ,24.0,CORPORATION,Existing or more than 2 years old,CANCLD,,,0.0,0,8.0,N,
2025-09-30, 7A,B&B Industries LLC,20020 177TH ST,BIG LAKE,MN,55309,36718.0,21st Century Bank,9751.0,,699 N Medina St,LORETTO,MN,55357.0,250000.0,187500.0,02/19/2021,2021,02/28/2021,SBA Express Program,FA$TRK (Small Loan Express),4.5,V,120,336120,Heavy Duty Truck Manufacturing,,,SHERBURNE,MN,MINNESOTA DISTRICT OFFICE ,6.0,CORPORATION,New Business or 2 years or less,PIF,01/31/2023,,0.0,1,15.0,Y,
2025-09-30, 7A,Highroad Partners LLC,"1001 CENTER AVE, SUITE G",MOORHEAD,MN,56560,52841.0,Aspire Bank,3934.0,,5195 45th St,Fargo,ND,58104.0,200000.0,100000.0,09/24/2020,2020,09/25/2020,SBA Express Program,FA$TRK (Small Loan Express),4.25,V,60,541612,Human Resources and Executive Search Consulting Services,,,CLAY,MN,MINNESOTA DISTRICT OFFICE ,7.0,CORPORATION,Change of Ownership,PIF,10/31/2022,,0.0,0,9.0,Y,
2025-09-30, 7A,BC Interiors LLC,3550 Frontier Ave.,Boulder,CO,80301,76755.0,IncredibleBank,19772.0,,327 N 17th Ave,WAUSAU,WI,54401.0,510000.0,255000.0,07/06/2021,2021,07/23/2021,SBA Express Program,FA$TRK (Small Loan Express),5.25,V,120,442110,Furniture Stores,,,BOULDER,CO,COLORADO DISTRICT OFFICE ,2.0,CORPORATION,Change of Ownership,PIF,03/31/2025,,0.0,1,2.0,Y,
2025-09-30, 7A,HSG RETAIL CORPORATION,12714-12720 ATLANTIC AVE,LYNWOOD,CA,90262,5536.0,Cathay Bank,18503.0,,777 N Broadway,LOS ANGELES,CA,90012.0,1155000.0,866250.0,02/03/2020,2020,04/30/2020,Preferred Lenders Program,Guaranty,5.63,F,300,445310,"Beer, Wine, and Liquor Stores",,,LOS ANGELES,CA,LOS ANGELES DISTRICT OFFICE ,44.0,CORPORATION,Change of Ownership,EXEMPT,,,0.0,0,2.0,Y,
2025-09-30, 7A,STEVENS & SON LLC,940 THAYER AVE,SILVER SPRING,MD,20910,44449.0,"PNC Bank, National Association",6384.0,,222 Delaware Ave,WILMINGTON,DE,19801.0,30000.0,15000.0,09/06/2023,2023,10/03/2023,SBA Express Program,FA$TRK (Small Loan Express),12.4,V,120,561720,Janitorial Services,,,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE ,8.0,CORPORATION,New Business or 2 years or less,EXEMPT,,,0.0,1,10.0,N,
2025-09-30, 7A,GADSDEN FLAG ARMORY LLC,12 DELAWARE ST N,BUTLER,MO,64730,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202.0,30000.0,15000.0,05/25/2023,2023,,SBA Express Program,FA$TRK (Small Loan Express),8.99,F,60,459110,,,,BATES,MO,KANSAS CITY DISTRICT OFFICE ,4.0,CORPORATION,Existing or more than 2 years old,CANCLD,,,0.0,0,2.0,Y,
2025-09-30, 7A,Lion Heart Group Inc. ,35 Kallas Ct,Valley Stream,NY,11580,448323.0,First Bank,58481.0,,"2465 Kuser Rd, Ste 101",HAMILTON,NJ,8690.0,850000.0,637500.0,04/26/2023,2023,04/26/2023,Preferred Lenders Program,Guaranty,10.0,V,300,236220,Commercial and Institutional Building Construction,,,NASSAU,NY,MELVILLE BRANCH OFFICE ,4.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,12.0,Y,Y
2025-09-30, 7A,SPHINX PHARMACY GROUP WEBSTER INC DBA,500 N. Kobayashi Road,Webster,TX,77598,72083.0,Wallis Bank,20845.0,,6510 Railroad St,WALLIS,TX,77485.0,2500000.0,1875000.0,09/23/2020,2020,,Preferred Lenders Program,Guaranty,4.75,V,120,446110,Pharmacies and Drug Stores,,,HARRIS,TX,HOUSTON DISTRICT OFFICE ,14.0,CORPORATION,Existing or more than 2 years old,CANCLD,,,0.0,0,15.0,Y,
2025-09-30, 7A,CARSTAR PACIFIC COAST COLLISION CENTER,3480 SUNRISE BLVD,RANCHO CORDOVA,CA,95742,455644.0,Live Oak Banking Company,58665.0,,1741 Tiburon Dr,WILMINGTON,NC,28403.0,500000.0,375000.0,04/15/2025,2025,04/30/2025,Preferred Lenders Program,Guaranty,8.99,V,120,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",S2138,Carstar,SACRAMENTO,CA,SACRAMENTO DISTRICT OFFICE ,7.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,50.0,Y,Y
2025-09-30, 7A,Delta74 Tactical Support Systems LLC,319 West General Screven Way,Hinesville,GA,31313,188187.0,Small Business Assistance Corporation,,,111 E. Liberty Street,Savannah,GA,31401.0,126000.0,113400.0,03/01/2021,2021,,Community Advantage Initiative,Community Advantage Initiative,6.0,V,60,812320,Drycleaning and Laundry Services (except Coin-Operated),,,LIBERTY,GA,GEORGIA DISTRICT OFFICE ,1.0,CORPORATION,"Startup, Loan Funds will Open Business",CANCLD,,,0.0,0,2.0,Y,
2025-09-30, 7A,CERRATO HOME REMODELING LLC,2561 EDENCREEK LN,COLUMBUS,OH,43207,57328.0,The Huntington National Bank,6560.0,,17 S High St.,COLUMBUS,OH,43215.0,50000.0,25000.0,04/17/2024,2024,05/28/2024,SBA Express Program,FA$TRK (Small Loan Express),11.0,V,120,238990,All Other Specialty Trade Contractors,,,FRANKLIN,OH,COLUMBUS DISTRICT OFFICE ,3.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,1,0.0,Y,
2025-09-30, 7A,FONG AND WONG OPTOMETRY INC.,1372 9TH AVE,SAN FRANCISCO,CA,94122,12096.0,Wells Fargo Bank National Association,3511.0,,3201 N 4th Ave,Sioux Falls,SD,57104.0,15000.0,7500.0,05/24/2024,2024,,SBA Express Program,FA$TRK (Small Loan Express),13.0,V,120,621320,Offices of Optometrists,,,SAN FRANCISCO,CA,SAN FRANCISCO DISTRICT OFFICE ,12.0,CORPORATION,New Business or 2 years or less,CANCLD,,,0.0,1,5.0,N,
2025-09-30, 7A,Elemental Bakery and Coffeehouse LLC,3875 N Steele Street,Denver,CO,80205,56102.0,KeyBank National Association,17534.0,,127 Public Sq,CLEVELAND,OH,44114.0,500000.0,375000.0,12/05/2024,2025,12/12/2024,Preferred Lenders Program,Guaranty,10.24,V,120,722515,Snack and Nonalcoholic Beverage Bars,,,DENVER,CO,COLORADO DISTRICT OFFICE ,1.0,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,,,0.0,0,8.0,Y,Y
2025-09-30, 7A,NACH'S INC.,53 Blake Blvd,Kissimmee,FL,34747,29599.0,Northeast Bank,19690.0,,"35 Canal St, Ste 500",Lewiston,ME,4240.0,50000.0,42500.0,08/28/2024,2024,09/06/2024,Preferred Lenders Program,Guaranty,11.25,V,120,238330,Flooring Contractors,,,OSCEOLA,FL,SOUTH FLORIDA DISTRICT OFFICE ,9.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,2.0,N,Y
2025-09-30, 7A,Reliant Medical Supply,"3935 W Reno Ave, Suite H",Las Vegas,NV,89118,49874.0,"Newtek Bank, National Association",18734.0,,"1111 Brickell Ave, Ste 135",Miami,FL,33131.0,150000.0,127500.0,01/26/2024,2024,02/13/2024,Preferred Lenders Program,Guaranty,11.5,V,120,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal",,,CLARK,NV,NEVADA DISTRICT OFFICE ,1.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,4.0,Y,Y
2025-09-30, 7A,Family Connections XV LLC,214 Storer Ave,Akron,OH,44302,57328.0,The Huntington National Bank,6560.0,,17 S High St.,COLUMBUS,OH,43215.0,10000.0,5000.0,12/18/2019,2020,01/31/2020,SBA Express Program,FA$TRK (Small Loan Express),6.25,V,120,621330,Offices of Mental Health Practitioners (except Physicians),,,SUMMIT,OH,CLEVELAND DISTRICT OFFICE ,11.0,CORPORATION,Unanswered,PIF,10/31/2024,,0.0,1,1.0,N,
2025-09-30, 7A,NECTAR LOCUMS LLC,2427 E BEACON DR,SALT LAKE CITY,UT,84108,72251.0,Cache Valley Bank,22134.0,,101 N Main St,LOGAN,UT,84321.0,500000.0,250000.0,02/17/2025,2025,03/07/2025,SBA Express Program,FA$TRK (Small Loan Express),9.5,V,120,561320,Temporary Help Services,,,SALT LAKE,UT,UTAH DISTRICT OFFICE ,2.0,CORPORATION,New Business or 2 years or less,EXEMPT,,,0.0,1,4.0,Y,
2025-09-30, 7A,On The Go Transport LLC,305 Lax Calcasieu,Luling,LA,70070,29599.0,Northeast Bank,19690.0,,"35 Canal St, Ste 500",Lewiston,ME,4240.0,44600.0,37910.0,12/13/2024,2025,,Preferred Lenders Program,Guaranty,10.75,V,120,485999,All Other Transit and Ground Passenger Transportation,,,SAINT CHARLES,LA,LOUISIANA DISTRICT OFFICE ,2.0,CORPORATION,Existing or more than 2 years old,CANCLD,,,0.0,0,1.0,N,
2025-09-30, 7A,BOLT DATA CONSULTING GROUP LLC,330 POYNTZ AVE,MANHATTAN,KS,66502,26025.0,Central National Bank,4702.0,,802 N Washington St,JUNCTION CITY,KS,66441.0,968000.0,484000.0,09/11/2020,2020,09/17/2020,SBA Express Program,FA$TRK (Small Loan Express),3.98,F,36,541511,Custom Computer Programming Services,,,RILEY,KS,WICHITA DISTRICT OFFICE ,1.0,CORPORATION,Existing or more than 2 years old,PIF,12/31/2021,,0.0,0,29.0,Y,
2025-09-30, 7A,Double T Acres LLC,1822 County Road 29,Lake Shore,MN,56468,52905.0,First Western Bank & Trust,19123.0,,900 S Broadway,MINOT,ND,58701.0,81000.0,60750.0,03/17/2021,2021,03/22/2021,SBA Express Program,FA$TRK (Small Loan Express),4.875,F,84,111334,Berry (except Strawberry) Farming,,,CROW WING,MN,MINNESOTA DISTRICT OFFICE ,8.0,CORPORATION,New Business or 2 years or less,PIF,10/31/2024,,0.0,0,2.0,Y,
2025-09-30, 7A,JUNK B SQUARED AWAY LLC,1780 APEX AVE,WEST DES MOINES,IA,50266,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202.0,40000.0,20000.0,05/01/2024,2024,05/13/2024,SBA Express Program,FA$TRK (Small Loan Express),10.99,V,120,562119,Other Waste Collection,,,POLK,IA,DES MOINES DISTRICT OFFICE ,3.0,CORPORATION,New Business or 2 years or less,EXEMPT,,,0.0,1,4.0,Y,
2025-09-30, 7A,POLO ISLAND REALTY LLC,4 MARY CT,HAMPTON BAYS,NY,11946,46391.0,Manufacturers and Traders Trust Company,588.0,,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203.0,25000.0,12500.0,09/29/2025,2025,,SBA Express Program,FA$TRK (Small Loan Express),14.0,V,120,531210,Offices of Real Estate Agents and Brokers,,,SUFFOLK,NY,MELVILLE BRANCH OFFICE ,1.0,CORPORATION,"Startup, Loan Funds will Open Business",COMMIT,,,0.0,1,3.0,N,
2025-09-30, 7A,Omaha Whole Body Wellness & Hydration Corp,7474 Towne Center Parkway,PAPILLION,NE,68046,57328.0,The Huntington National Bank,6560.0,,17 S High St.,COLUMBUS,OH,43215.0,50000.0,25000.0,05/20/2025,2025,,SBA Express Program,FA$TRK (Small Loan Express),10.25,V,120,812990,All Other Personal Services,,,SARPY,NE,NEBRASKA DISTRICT OFFICE ,2.0,CORPORATION,New Business or 2 years or less,COMMIT,,,0.0,1,8.0,Y,
2025-09-30, 7A,VIRTUS TECHNOLOGY SOLUTIONS INC,2239 DOUBLE EAGLE CT,RESTON,VA,20191,46391.0,Manufacturers and Traders Trust Company,588.0,,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203.0,1555000.0,1166250.0,04/22/2025,2025,05/12/2025,Preferred Lenders Program,Guaranty,9.5,V,120,541512,Computer Systems Design Services,,,FAIRFAX,VA,WASHINGTON DISTRICT OFFICE ,11.0,CORPORATION,Change of Ownership,EXEMPT,,,0.0,0,17.0,Y,
2025-09-30, 7A,ITfrastructure Inc.,4031 UNIVERSITY DR,FAIRFAX,VA,22030,46391.0,Manufacturers and Traders Trust Company,588.0,,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203.0,50000.0,37500.0,08/16/2021,2021,08/23/2021,SBA Express Program,FA$TRK (Small Loan Express),5.5,V,60,541519,Other Computer Related Services,,,FAIRFAX CITY,VA,WASHINGTON DISTRICT OFFICE ,10.0,CORPORATION,Existing or more than 2 years old,PIF,01/31/2022,,0.0,0,3.0,Y,
2025-09-30, 7A,ADW Consulting LLC,229 North CATTLEMEN RD,SARASOTA,FL,34243,19248.0,Synovus Bank,873.0,,33 W 14th St,Columbus,GA,31901.0,830300.0,622725.0,12/08/2020,2021,12/18/2020,Preferred Lenders Program,Guaranty,5.75,V,126,445299,All Other Specialty Food Stores,,,MANATEE,FL,SOUTH FLORIDA DISTRICT OFFICE ,16.0,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,,,0.0,0,63.0,N,Y
2025-09-30, 7A,Your Best Choys LLC,28029 Sarabande Lane Unit 1233,CANYON COUNTRY,CA,91387,110352.0,First Bank of the Lake,26960.0,,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065.0,150000.0,127500.0,08/24/2023,2023,08/29/2023,Preferred Lenders Program,Guaranty,10.75,V,120,561720,Janitorial Services,S3593,Home Clean Heroes,LOS ANGELES,CA,LOS ANGELES DISTRICT OFFICE ,25.0,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,,,0.0,0,10.0,Y,
2025-09-30, 7A,DARMIL TECHNOLOGY Solutions LLC,10805 Frank Tippett Rd,Cheltenham,MD,20623,49874.0,"Newtek Bank, National Association",18734.0,,"1111 Brickell Ave, Ste 135",Miami,FL,33131.0,250000.0,187500.0,05/02/2025,2025,,Preferred Lenders Program,Guaranty,10.5,V,120,541512,Computer Systems Design Services,,,PRINCE GEORGES,MD,WASHINGTON DISTRICT OFFICE ,5.0,INDIVIDUAL,Existing or more than 2 years old,CANCLD,,,0.0,0,1.0,Y,
